,features,coef_abs,sign
42,Entire home/apt,32.21892210191134,1.0
2,bedrooms,31.62731365399577,1.0
15,Back Bay,22.252860610291556,1.0
36,South End,16.104369585225818,1.0
35,South Boston Waterfront,15.55786493112464,1.0
22,Downtown,15.128412312940624,1.0
17,Beacon Hill,14.201771231064559,1.0
24,Fenway,13.63130944017737,1.0
1,bathrooms,10.790256628401488,1.0
3,guests_included,10.411945893694432,1.0
20,Chinatown,9.022295027629317,1.0
41,cancellation_policy_super_strict_30,8.24372568845473,1.0
10,number_of_amenities,7.601791129770839,1.0
31,North End,7.102831680263668,1.0
16,Bay Village,6.938304279222198,1.0
9,reviews_per_month,6.854293385644368,-1.0
19,Charlestown,6.777040253626095,1.0
34,South Boston,5.6447459118958605,1.0
21,Dorchester,4.862872260145083,-1.0
27,Leather District,4.363261710396809,1.0
5,minimum_nights,4.319009180496568,-1.0
7,review_scores_rating,4.151743209989267,1.0
39,cancellation_policy_moderate,3.735182942441332,1.0
37,West End,2.882952775216478,1.0
0,host_total_listings_count,2.770352835464921,1.0
